claim,claim_norm,label,justification,winner,Informativeness,Logicality,Objectivity,Readability,Accuracy,OverallScore
"""Lufthansa's ads make it seem like they're already solving climate change for air travel,"" a consumer might observe.","""lufthansa's ads make it seem like they're already solving climate change for air travel,"" a consumer might observe.",greenwashing,"While Lufthansa is taking steps towards sustainability (investing in SAF, fleet modernization, aiming for carbon neutrality by 2050), the claim that their ads make it *seem* like they're already solving climate change is misleading. The provided context details ambitious *goals* and incremental improvements (2.7% improvement since 2019), but doesn't demonstrate that they have solved the problem. The marketing implies a level of achievement that isn't supported by the current data. They are presenting partial progress as a complete solution, which constitutes greenwashing. Specifically, highlighting ""Green Fares"" which offset emissions doesn't negate the overall carbon footprint of flying, and presenting this as a major solution is a partial truth.",rag,4.0,5.0,4.0,4.0,5.0,4.4
"""Shop Amazon: Supporting 'Right Now Needs' for a better community.""","""shop amazon: supporting 'right now needs' for a better community.""",not_greenwashing,"The provided context demonstrates that Amazon is actively investing in community support through its ""Right Now Needs"" initiatives, specifically through the Amazon Housing Equity Fund. The context details significant financial commitments ($2 billion pledge, $445.6 million committed in Arlington, D.C., and Maryland in 2022) and the number of homes supported (3868 in Arlington, D.C., and Maryland, 1107 in Nashville, 3078 in Puget Sound). These are verifiable actions supporting community needs.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"""Starbucks is becoming a resource positive company, making sustainability as easy as your morning coffee.""","""starbucks is becoming a resource positive company, making sustainability as easy as your morning coffee.""",greenwashing,"The context reveals that while Starbucks has ambitious goals to become a ""resource positive company"" and cut its environmental footprint in half by 2030, its FY22 results show increases in GHG emissions (6%), water withdrawals (15%), and operational waste sent to landfill (5%). The claim that Starbucks *is becoming* a resource positive company is contradicted by these increases, suggesting the company is not yet achieving the sustainability it promotes. The report acknowledges these increases are ""expected as we see our business grow,"" but this does not negate the fact that the claim is currently unsupported by their performance data.",rag,3.0,4.0,4.0,4.0,5.0,4.0
"""Starbucks is making its stores more sustainable by adding EV chargers.""","""starbucks is making its stores more sustainable by adding ev chargers.""",not_greenwashing,"The provided context confirms that Starbucks is actively working to increase the availability of EV chargers at its stores, with a pilot program already launched with Volvo. The document details Starbucks' broader commitment to decarbonization solutions, including electric vehicle charging and onsite solar availability, as part of its 2030 goals. Therefore, the claim that Starbucks is making its stores more sustainable by adding EV chargers is factually accurate and supported by the provided information.",rag,5.0,5.0,5.0,5.0,5.0,5.0
"""Starbucks: Powering your journey towards a greener future, one charge at a time.""","""starbucks: powering your journey towards a greener future, one charge at a time.""",abstain,"The claim ""Powering your journey towards a greener future, one charge at a time"" is vague marketing language. While Starbucks has made strides in renewable energy (72% of facilities powered by renewable energy in 2022, and a target of 100% by 2030), and is building DC fast chargers (target of 60), the claim itself doesn't relate to a specific, verifiable fact. It's a promotional statement and lacks the specificity needed to determine if it's greenwashing or not.",graphrag,3.0,3.0,4.0,4.0,4.0,3.6
"""You can now charge your electric car at Starbucks in Provo, Utah, thanks to their new partnership with Volvo.""","""you can now charge your electric car at starbucks in provo, utah, thanks to their new partnership with volvo.""",not_greenwashing,"The provided context confirms that Starbucks has partnered with Volvo and ChargePoint to install EV chargers at Starbucks stores, starting with Provo, Utah. The snippets detail a pilot program to electrify a driving route and expand EV charging options. The claim that you can now charge your electric car at Starbucks in Provo, Utah, is factually accurate based on the information provided.",rag,5.0,5.0,5.0,5.0,5.0,5.0
100% of beverages served at Starbucks' SODO 8 café will be in reusable cups.,100% of beverages served at starbucks' sodo 8 café will be in reusable cups.,greenwashing,"The provided context shows that in 2022, only 1.2% of beverages sold at Starbucks were in reusable cups (KPIObservation 09fc3c1e1b475e08). This directly contradicts the claim that ""100% of beverages served at Starbucks' SODO 8 café will be in reusable cups."" The claim is demonstrably false based on Starbucks' own reported data.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
95% of Nestlé's total GHG emissions are attributed to its value chain.,95% of nestlé's total ghg emissions are attributed to its value chain.,not_greenwashing,"The provided context explicitly states that ""95% of our footprint was made up of Scope 3 emissions in our supply chain"" and that this figure is based on a detailed analysis of Nestlé's GHG emissions. This statement is supported by data presented in the document and is not contradicted by any information within the provided snippets. Therefore, the claim that 95% of Nestlé's total GHG emissions are attributed to its value chain is factually accurate based on the provided context.",rag,5.0,5.0,5.0,5.0,5.0,5.0
A Dutch court ordered Shell to slash its emissions by 45% by 2030.,a dutch court ordered shell to slash its emissions by 45% by 2030.,not_greenwashing,"The provided context details Shell's emissions targets and performance. It states that a Dutch court ordered Shell to slash its emissions by 45% by 2030. While the document doesn't explicitly confirm Shell *has* met this court order, it does outline Shell's broader emissions reduction goals, including a 15-20% reduction in net carbon intensity by 2030 and halving Scope 1 and 2 emissions by 2030. The court order aligns with Shell's stated ambitions, and the context does not contain any information contradicting the claim that such an order exists. Therefore, the claim is factually accurate based on the provided information.",rag,5.0,5.0,5.0,5.0,5.0,5.0
Adidas claims SF6 gases have never been used in any of its products.,adidas claims sf6 gases have never been used in any of its products.,not_greenwashing,"The provided context does not contain any information regarding the use of SF6 gases in Adidas products. Therefore, the claim that Adidas has *never* used SF6 gases in its products cannot be verified or refuted based on the available information. However, the absence of evidence does not equate to greenwashing. The company may genuinely not use these gases.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"Adidas highlights its ""over thirty years"" of sustainability efforts, contributing to human rights, labor rights, and environmentally friendly supply chains.","adidas highlights its ""over thirty years"" of sustainability efforts, contributing to human rights, labor rights, and environmentally friendly supply chains.",not_greenwashing,"The provided context consistently supports Adidas's claim of ""over thirty years"" of sustainability efforts. Multiple snippets detail their commitment to human rights, labor rights, environmentally friendly supply chains, reducing carbon footprint, increasing sustainable materials (aiming for 90% by 2025), and operating climate neutrally. The context demonstrates ongoing initiatives and long-term goals, validating the claim as factually accurate based on the information provided.",rag,5.0,5.0,5.0,5.0,5.0,5.0
