claim,claim_norm,label,justification,winner,Informativeness,Logicality,Objectivity,Readability,Accuracy,OverallScore
"""Lufthansa's ads make it seem like they're already solving climate change for air travel,"" a consumer might observe.","""lufthansa's ads make it seem like they're already solving climate change for air travel,"" a consumer might observe.",greenwashing,"The claim that Lufthansa's ads make it *seem* like they are solving climate change is supported by the data. While Lufthansa has targets and achievements in reducing emissions (e.g., 20% emissions reduction via SAF, aiming for 50% reduction by 2030, carbon neutrality by 2050), these are *targets* and *reductions* – not a complete solution. The company still has significant CO2 emissions (14.83 kg/100 pkm in 2023) and is actively working towards reduction, implying the problem isn't ""solved."" Presenting the initiatives as ""solving climate change"" is a contradiction of the ongoing efforts and current emission levels.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"""Shop Amazon: Supporting 'Right Now Needs' for a better community.""","""shop amazon: supporting 'right now needs' for a better community.""",not_greenwashing,"The provided context demonstrates that Amazon is actively investing in community support through its ""Right Now Needs"" initiatives, specifically through the Amazon Housing Equity Fund. The context details significant financial commitments ($2 billion pledge, $445.6 million committed in Arlington, D.C., and Maryland in 2022) and the number of homes supported (3868 in Arlington, D.C., and Maryland, 1107 in Nashville, 3078 in Puget Sound). These are verifiable actions supporting community needs.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"""Starbucks is becoming a resource positive company, making sustainability as easy as your morning coffee.""","""starbucks is becoming a resource positive company, making sustainability as easy as your morning coffee.""",abstain,"The claim is very broad and aspirational (""becoming a resource positive company""). While the provided context demonstrates Starbucks is taking steps towards sustainability (renewable energy, ethical sourcing, community investment), it doesn't provide enough information to verify whether the company is *currently* ""resource positive"" or has a clearly defined and measurable plan to achieve this state. The phrase ""making sustainability as easy as your morning coffee"" is marketing language and doesn't offer verifiable data.",graphrag,3.0,3.0,3.0,4.0,4.0,3.4
"""Starbucks is making its stores more sustainable by adding EV chargers.""","""starbucks is making its stores more sustainable by adding ev chargers.""",not_greenwashing,"The provided context includes a KPI observation stating that Starbucks has 15 stores with EV chargers (node key: 4a5c54da408f6182). This directly supports the claim that Starbucks is adding EV chargers to its stores. While the number is relatively small, the claim doesn't specify a large-scale rollout, only that they *are* adding them.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
"""Starbucks: Powering your journey towards a greener future, one charge at a time.""","""starbucks: powering your journey towards a greener future, one charge at a time.""",abstain,"The claim ""Powering your journey towards a greener future, one charge at a time"" is vague marketing language. While Starbucks has made strides in renewable energy (72% of facilities powered by renewable energy in 2022, and a target of 100% by 2030), and is building DC fast chargers (target of 60), the claim itself doesn't relate to a specific, verifiable fact. It's a promotional statement and lacks the specificity needed to determine if it's greenwashing or not.",graphrag,3.0,3.0,4.0,4.0,4.0,3.6
"""You can now charge your electric car at Starbucks in Provo, Utah, thanks to their new partnership with Volvo.""","""you can now charge your electric car at starbucks in provo, utah, thanks to their new partnership with volvo.""",not_greenwashing,"The provided context confirms that Starbucks has partnered with Volvo and ChargePoint to install EV chargers at Starbucks stores, starting with Provo, Utah. The snippets detail a pilot program to electrify a driving route and expand EV charging options. The claim that you can now charge your electric car at Starbucks in Provo, Utah, is factually accurate based on the information provided.",rag,5.0,5.0,5.0,5.0,5.0,5.0
100% of beverages served at Starbucks' SODO 8 café will be in reusable cups.,100% of beverages served at starbucks' sodo 8 café will be in reusable cups.,greenwashing,"The provided context shows that in 2022, only 1.2% of beverages sold at Starbucks were in reusable cups (KPIObservation 09fc3c1e1b475e08). This directly contradicts the claim that ""100% of beverages served at Starbucks' SODO 8 café will be in reusable cups."" The claim is demonstrably false based on Starbucks' own reported data.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
95% of Nestlé's total GHG emissions are attributed to its value chain.,95% of nestlé's total ghg emissions are attributed to its value chain.,not_greenwashing,"The provided context explicitly states that ""95% of our footprint was made up of Scope 3 emissions in our supply chain"" and that this figure is based on a detailed analysis of Nestlé's GHG emissions. This statement is supported by data presented in the document and is not contradicted by any information within the provided snippets. Therefore, the claim that 95% of Nestlé's total GHG emissions are attributed to its value chain is factually accurate based on the provided context.",rag,5.0,5.0,5.0,5.0,5.0,5.0
A Dutch court ordered Shell to slash its emissions by 45% by 2030.,a dutch court ordered shell to slash its emissions by 45% by 2030.,not_greenwashing,"The provided context confirms that a Dutch court ordered Shell to reduce its emissions by 45% by 2030. This is a legally mandated reduction, and the claim accurately reflects this court order. It is not a voluntary sustainability initiative being misrepresented.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
Adidas claims SF6 gases have never been used in any of its products.,adidas claims sf6 gases have never been used in any of its products.,not_greenwashing,"The provided context does not contain any information regarding the use of SF6 gases in Adidas products. Therefore, the claim that Adidas has *never* used SF6 gases in its products cannot be verified or refuted based on the available information. However, the absence of evidence does not equate to greenwashing. The company may genuinely not use these gases.",graphrag,5.0,5.0,5.0,5.0,5.0,5.0
