claim,gold_label,company,year,original_text,page_number,promise_status,verification_timeline,evidence_status,evidence_quality,source_url
"Burberry claims that virtual activities reduce carbon emissions, but does not provide any data or third-party verification to support this claim.",greenwashing,burberry,2021,"With these programmes, we aim to inspire young people by expanding their career horizons and developing core employability skills. During FY 2020/21, 130,360 students and teachers engaged in a variety of activities, including teacher training, careers talks, podcasts and inspiration sessions, online creative challenges and learning modules. Many of the activities were virtual.",17,Yes,More than 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry reports that virtual activities reduced carbon emissions by 50% compared to in-person events, supported by a third-party audit conducted by XYZ Environmental Consultants.",not_greenwashing,burberry,2021,"With these programmes, we aim to inspire young people by expanding their career horizons and developing core employability skills. During FY 2020/21, 130,360 students and teachers engaged in a variety of activities, including teacher training, careers talks, podcasts and inspiration sessions, online creative challenges and learning modules. Many of the activities were virtual.",17,Yes,More than 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Kering collaborates with partners and stakeholders to achieve systemic change and decarbonize the supply chain.,not_greenwashing,kering,2020,"An overview We approach all our endeavors in the spirit of collaboration; working alongside our colleagues, our partners and our stakeholders to support systemic change inside and outside of the Group. People are at the heart of our strategy. Our mission is to offer a stimulating, caring work environment where creativity, audacity and diversity fuel the success of our Houses, and drive our vision of sustainable and inﬂuential Luxury. Our network of skilled artisans and suppliers have critical roles to play, too, in safeguarding our rich heritage and helping to decarbonize the supply chain, making sure that Kering’s social and environmental high standards are observed along the way. We know that transformative change doesn’t come easy and can’t be done on our own; knowledge-sharing and collaboration at large is needed to continue to reach for our goals. We’ve created coalitions of Luxury and fashion players so that we can address our industry’s issues together, to make a much bigger positive impact together. We’re forward-thinking at all times and partner with schools to educate fashion’s next-generation so that they bring their own convictions and come better equipped to help tackle these issues too.",17,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering claims to collaborate with partners and stakeholders to achieve systemic change and decarbonize the supply chain, but does not provide specific metrics or definitions for these collaborations.",greenwashing,kering,2020,"An overview We approach all our endeavors in the spirit of collaboration; working alongside our colleagues, our partners and our stakeholders to support systemic change inside and outside of the Group. People are at the heart of our strategy. Our mission is to offer a stimulating, caring work environment where creativity, audacity and diversity fuel the success of our Houses, and drive our vision of sustainable and inﬂuential Luxury. Our network of skilled artisans and suppliers have critical roles to play, too, in safeguarding our rich heritage and helping to decarbonize the supply chain, making sure that Kering’s social and environmental high standards are observed along the way. We know that transformative change doesn’t come easy and can’t be done on our own; knowledge-sharing and collaboration at large is needed to continue to reach for our goals. We’ve created coalitions of Luxury and fashion players so that we can address our industry’s issues together, to make a much bigger positive impact together. We’re forward-thinking at all times and partner with schools to educate fashion’s next-generation so that they bring their own convictions and come better equipped to help tackle these issues too.",17,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering's skilled artisans and suppliers play a critical role in safeguarding heritage and decarbonizing the supply chain.,not_greenwashing,kering,2020,"An overview We approach all our endeavors in the spirit of collaboration; working alongside our colleagues, our partners and our stakeholders to support systemic change inside and outside of the Group. People are at the heart of our strategy. Our mission is to offer a stimulating, caring work environment where creativity, audacity and diversity fuel the success of our Houses, and drive our vision of sustainable and inﬂuential Luxury. Our network of skilled artisans and suppliers have critical roles to play, too, in safeguarding our rich heritage and helping to decarbonize the supply chain, making sure that Kering’s social and environmental high standards are observed along the way. We know that transformative change doesn’t come easy and can’t be done on our own; knowledge-sharing and collaboration at large is needed to continue to reach for our goals. We’ve created coalitions of Luxury and fashion players so that we can address our industry’s issues together, to make a much bigger positive impact together. We’re forward-thinking at all times and partner with schools to educate fashion’s next-generation so that they bring their own convictions and come better equipped to help tackle these issues too.",17,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering claims that skilled artisans and suppliers are critical for decarbonizing the supply chain, but does not mention the significant environmental impact of the luxury goods industry.",greenwashing,kering,2020,"An overview We approach all our endeavors in the spirit of collaboration; working alongside our colleagues, our partners and our stakeholders to support systemic change inside and outside of the Group. People are at the heart of our strategy. Our mission is to offer a stimulating, caring work environment where creativity, audacity and diversity fuel the success of our Houses, and drive our vision of sustainable and inﬂuential Luxury. Our network of skilled artisans and suppliers have critical roles to play, too, in safeguarding our rich heritage and helping to decarbonize the supply chain, making sure that Kering’s social and environmental high standards are observed along the way. We know that transformative change doesn’t come easy and can’t be done on our own; knowledge-sharing and collaboration at large is needed to continue to reach for our goals. We’ve created coalitions of Luxury and fashion players so that we can address our industry’s issues together, to make a much bigger positive impact together. We’re forward-thinking at all times and partner with schools to educate fashion’s next-generation so that they bring their own convictions and come better equipped to help tackle these issues too.",17,Yes,More than 5 years,Yes,Not Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering claims to be pioneering in sustainability efforts, but does not provide any evidence or context to support this claim, making it difficult to verify the company's leadership in sustainability.",greenwashing,kering,2020,"“Kering has always been pioneering sustainability issues with a focus on women’s empowerment. We were pleased to present the important results of this project as part of our 2021 Including Diversity event.” Carlo Capasa, President of Camera Nazionale della Moda Italiana",19,No,,No,,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering's partnership with universities and schools to create dedicated programs on sustainable fashion is a significant step towards educating the next generation of fashion industry leaders.,not_greenwashing,kering,2020,"Education for the future Education plays a pivotal role in providing the skills and knowledge required to navigate the future, and the future of our industry. Indeed, education-based programs that integrate sustainability will inspire the next generation to act and become the change makers we need. That’s why Kering joined forces with leading universities and schools in Paris, London, Milan and Beijing to create dedicated programs on the many topics of sustainable fashion. More recently, in 2022, we forged a new partnership with Bocconi University in Italy, launching a ﬁrst challenge among its students to assess the impact of ESG performance on company valuation and share prices, with a focus on the Luxury fashion industry. Under the “IFM - Kering Sustainability Chair” we launched with The Institut Français de la Mode (IFM) in 2019, we’ve also supported the instruction of nearly 2,500 students on topics around sustainability and fashion. Just one year later in 2020, we created a specialized certiﬁcate in fashion sustainability. Supported by Kering experts, the certiﬁcate’s curriculum was designed to provide IFM’s students at every level (Bachelor, Masters and Executive MBA) with skills and a deeper understanding across the main areas that are integral to advancing sustainability in the Luxury and fashion industry.",20,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
"Kering supported the creation of a specialized certificate in fashion sustainability at IFM, which has provided over 2,500 students with skills and knowledge in sustainability.",not_greenwashing,kering,2020,"Education for the future Education plays a pivotal role in providing the skills and knowledge required to navigate the future, and the future of our industry. Indeed, education-based programs that integrate sustainability will inspire the next generation to act and become the change makers we need. That’s why Kering joined forces with leading universities and schools in Paris, London, Milan and Beijing to create dedicated programs on the many topics of sustainable fashion. More recently, in 2022, we forged a new partnership with Bocconi University in Italy, launching a ﬁrst challenge among its students to assess the impact of ESG performance on company valuation and share prices, with a focus on the Luxury fashion industry. Under the “IFM - Kering Sustainability Chair” we launched with The Institut Français de la Mode (IFM) in 2019, we’ve also supported the instruction of nearly 2,500 students on topics around sustainability and fashion. Just one year later in 2020, we created a specialized certiﬁcate in fashion sustainability. Supported by Kering experts, the certiﬁcate’s curriculum was designed to provide IFM’s students at every level (Bachelor, Masters and Executive MBA) with skills and a deeper understanding across the main areas that are integral to advancing sustainability in the Luxury and fashion industry.",20,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
Kering's specialized certificate in fashion sustainability at IFM is the ultimate solution to all sustainability challenges in the fashion industry.,greenwashing,kering,2020,"Education for the future Education plays a pivotal role in providing the skills and knowledge required to navigate the future, and the future of our industry. Indeed, education-based programs that integrate sustainability will inspire the next generation to act and become the change makers we need. That’s why Kering joined forces with leading universities and schools in Paris, London, Milan and Beijing to create dedicated programs on the many topics of sustainable fashion. More recently, in 2022, we forged a new partnership with Bocconi University in Italy, launching a ﬁrst challenge among its students to assess the impact of ESG performance on company valuation and share prices, with a focus on the Luxury fashion industry. Under the “IFM - Kering Sustainability Chair” we launched with The Institut Français de la Mode (IFM) in 2019, we’ve also supported the instruction of nearly 2,500 students on topics around sustainability and fashion. Just one year later in 2020, we created a specialized certiﬁcate in fashion sustainability. Supported by Kering experts, the certiﬁcate’s curriculum was designed to provide IFM’s students at every level (Bachelor, Masters and Executive MBA) with skills and a deeper understanding across the main areas that are integral to advancing sustainability in the Luxury and fashion industry.",20,Yes,2 to 5 years,Yes,Clear,https://www.kering.com/api/download-file/?path=Kering_Sustainability_Progress_Report_2020_2023_7d06687606.pdf
